"","X","mean_SPM","max_SPM","min_SPM","stdDev_SPM","month_init","year","water_period","discharge_max","discharge_min","area_km2","mean_precipitation","discharge_mean","mean_u__wind","mean_v__wind"
"48",47,21.8931340058901,216.640869140625,5.86887216567993,8.76987044134457,7,2014,"F",227168.933333333,199453.5,1583.41544886061,128.195582158434,214420.466666667,-2.22832174475127,-0.353273013175458
"49",48,94.664578002972,303.240905761719,7.0150990486145,57.1280149214599,10,2014,"LW",137114.546666667,115172.236666667,985.205369772746,209.162288251917,125398.898666667,-1.78145100396866,0.187239556431939
"50",49,54.105013033244,306.049041748047,5.71654462814331,30.8109174122881,1,2015,"R",185357.476666667,159381.276666667,1083.90287447808,897.703401611633,171978.603333333,-1.5364336093371,-0.39073419941101
"51",50,21.8368791356807,216.901596069336,5.51995325088501,12.0656208156516,4,2015,"HW",242776.08,230778.39,1556.72992379798,648.805618988656,238132.843333333,-1.88111386940432,-0.237612944550709
"52",51,22.1036865197359,218.861785888672,5.86887216567993,9.68550450801161,7,2015,"F",225095.1,198714.646666667,1565.38811677358,117.685509500493,213218.14,-2.29346175463672,-0.407629471820206
"53",52,180.87406325266,306.049041748047,6.68504095077515,72.7524978430018,10,2015,"LW",113283.416666667,84013.2633333333,829.908490429736,104.439704284181,96568.2016666667,-2.57273074749337,-0.231429084720256
"54",53,39.6229921408664,282.490112304688,5.85208320617676,16.2985036355092,4,2016,"HW",195952.336666667,184159.76,1388.27455928453,728.734778217172,191511.083333333,-1.59980657798095,-0.08128258712142
"55",54,48.5753968352454,242.50373840332,5.86887216567993,19.4538861627116,7,2016,"F",180739.09,153865.686666667,1372.72604124877,179.789977623065,168726.963333333,-1.26907741585799,-0.275568320795804
"56",55,208.217435972754,304.234252929688,11.1624202728271,51.1969149312857,10,2016,"LW",107452.833333333,93308.1166666666,768.152708064096,645.534705178061,97350.29,-1.34023860632031,0.106163058873912
"57",56,65.6692189170269,306.049041748047,5.34286594390869,44.5643278526311,1,2017,"R",193133.416666667,157537.386666667,1106.39164731576,1068.13640482054,176281.796666667,-1.28164206159275,-0.490854119743176
"58",57,21.5766941375126,282.490112304688,5.48719120025635,17.6950537475913,4,2017,"HW",238938.846666667,228577.716666667,1486.71072227349,523.046052006424,234113.666666667,-1.49475117201938,-0.289742639722013
"59",58,26.7652133975867,274.237945556641,5.88144683837891,10.9236965669613,7,2017,"F",196530.416666667,155997.016666667,1465.98423755288,153.892818949427,176999.916666667,-1.73779798304075,-0.463373875742094
"60",59,202.751589769149,306.049041748047,19.4833507537842,49.7909264805874,10,2017,"LW",107802.653333333,94915.6733333333,727.432806265263,258.039609720832,101308.84,-1.57479617309788,-0.008309632721294
"61",60,58.5163768401804,282.736450195312,5.8980278968811,27.6914778379719,1,2018,"R",175566.326666667,152921.783333333,1076.29114379943,737.405082537074,165068.406666667,-1.3331859540512,-0.562994620830871
"62",61,21.9191387429906,217.625961303711,5.73351192474365,13.9211837352394,4,2018,"HW",221297.203333333,209619.143333333,1422.89122032052,827.580664064744,216048.556666667,-1.3534016582392,-0.314825833903826
"63",62,19.4685249310454,216.640869140625,5.80126428604126,9.13271734948231,7,2018,"F",203083.083333333,178241.083333333,1415.84470052159,258.559921865453,191526.423333333,-1.53536626316933,-0.456228141638988
"64",63,173.033619325068,298.013275146484,9.4000654220581,66.874237551329,10,2018,"LW",130955.133333333,94245.9166666667,816.917814514513,426.664489691327,111457.956666667,-1.752077150124,-0.266813754813255
"65",64,52.2982625922758,298.892150878906,5.97280550003052,21.5582648643502,1,2019,"R",198040.413333333,175564.02,1283.19542872194,867.719782275189,186569.326666667,-1.65652919384465,-0.513669093816343
"66",65,19.0322791319909,217.074966430664,5.4013819694519,13.8039931670416,4,2019,"HW",240509.156666667,229641.813333333,1417.68427446444,720.176180778777,235646.696666667,-1.75537410708816,-0.317704923288245
"67",66,18.2633084814462,218.488693237305,5.73351192474365,9.25423850119173,7,2019,"F",215776.016666667,184899.43,1482.18098001798,127.883181121179,202569.723333333,-1.70360096234747,-0.384152102147631
"68",67,102.025142062311,306.049041748047,6.70179224014282,59.5302935283612,10,2019,"LW",135588.473333333,107729.313333333,921.822310022447,462.697447838626,117908.505,-1.20909112176876,0.0430519010460617
"69",68,47.7537103563398,243.583938598633,5.59719848632812,17.7436810825711,1,2020,"R",186606.373333333,168109.313333333,1335.58294899942,771.439436909322,177699.61,-1.46555802340008,-0.549418983099292
"70",69,19.8730245702184,230.527328491211,5.67499589920044,12.9937724370889,4,2020,"HW",228753.256666667,216982.49,1403.43524087805,867.361197861841,223581.94,-1.1214513459602,-0.202971931452466
"71",70,19.1645900278663,217.360198974609,5.67499589920044,8.7745523427473,7,2020,"F",202471.3,164457.67,1394.89625470893,138.082595293775,185047.386666667,-1.69735954215091,-0.334039215263113
"72",71,184.986481494686,305.055694580078,8.80752468109131,63.0628312802647,10,2020,"LW",108417.21,88246.9,821.724967283314,368.052105902376,95906.7666666667,-1.4543881826396,-0.230542666767176
"73",72,61.3403014763801,304.234252929688,5.78424119949341,36.4300005376261,1,2021,"R",200623.566666667,167182.446666667,1093.3088247365,1012.45517399867,184382.646666667,-1.21057549369553,-0.457162147691583
"74",73,18.729656086631,216.901596069336,5.59719848632812,14.5266087302395,4,2021,"HW",252377.366666667,242791.04,1544.20269077217,549.460154471229,247663.29,-1.21271322158871,-0.24148082821365
"75",74,21.9459578901408,216.640869140625,5.59719848632812,9.26152972022245,7,2021,"F",226970.19,196080.693333333,1539.915356568,244.215583678334,212379.573333333,-1.19023615550872,-0.387049685682392
"76",75,107.085217577352,302.420928955078,6.42831182479858,55.5449536713619,10,2021,"LW",NA,NA,1036.45366514144,564.753181841804,140132.016666667,-1.05714201940688,-0.182865679309201
"77",76,47.9253925153698,296.486358642578,5.84616327285767,19.8103540967412,1,2022,"R",211572.38,185956.98,1330.37037412659,1115.19731997766,198530.183333333,-1.12396518901973,-0.47369835321404
"78",77,19.9996752933075,217.074966430664,5.84490013122559,15.7383280681163,4,2022,"HW",271516.526666667,258666.736666667,1581.87499660028,766.24709269434,266835.843333333,-1.1691870385658,-0.218667406864289
"79",78,19.1394114311836,217.128967285156,5.81932163238525,8.6589468374443,7,2022,"F",231573.246666667,192735.22,1544.66329796936,181.762871004195,214150.526666667,-1.7728174984604,-0.504657459067777
"80",79,176.590494541304,306.049041748047,6.33344697952271,71.5719396033198,10,2022,"LW",117755.373333333,91395.1866666667,725.497255466162,413.168007788862,102406.548,-1.12493333953145,-0.234794179532272
"81",80,47.2984542195194,283.12060546875,5.86887216567993,20.1087886038706,1,2023,"R",182737.576666667,147524.15,1287.61606417207,903.481078327969,164682.76,-1.29827591698072,-0.458458014067163
"82",81,19.5960156485869,218.769561767578,5.67499589920044,11.7326057734794,4,2023,"HW",230351.563333333,220546.966666667,1404.29620489776,490.82926036201,226643.216666667,-1.48689865656462,-0.180682885632393
"83",82,27.6913032826888,233.446441650391,5.80126428604126,10.4943935134611,7,2023,"F",193004.146666667,150315.096666667,1393.73310658102,80.8835090467067,174020.018666667,-2.13529982439428,-0.319459786339116
"84",83,208.968305369603,306.049041748047,6.78134441375732,61.4182588609698,10,2023,"LW",86783.28,63105.9496666667,463.786451306725,173.824400033773,71733.4113333333,-2.1519920959201,-0.0815616454182367
"85",84,36.7227918898231,306.049041748047,5.86887216567993,20.2143858616716,1,2024,"R",150532.343333333,127500.926666667,949.024620682982,875.257257973758,140132.016666667,-1.78304843285198,-0.281890407193171
"86",85,32.5801759752591,282.490112304688,5.7549729347229,18.713886612798,4,2024,"HW",199498.36,171633.06,1296.69790255903,924.966354276171,185468,-1.50968953767931,-0.353760863691104
"87",86,39.458892341379,226.239837646484,5.86887216567993,12.8204459492682,7,2024,"F",NA,NA,1268.92440818454,72.8897355436209,140132.016666667,-2.08081599534696,-0.464605125333971
"88",87,198.915825786949,306.049041748047,6.04813718795776,66.0960925614393,10,2024,"LW",61237.44,50618.246,390.826378990747,306.114476860829,54955.098,-1.7583239866216,-0.0943652219027958
